name,name_fa,year_inscribed,type,city,province,lat,lng,description
Sheikh Safi al-Din Khanegah and Shrine Ensemble in Ardabil,مجموعه خانقاه و بقعه شیخ صفی‌الدین اردبیلی,2010,cultural,Ardabil,Ardabil,38.2489,48.2936,"A medieval Sufi spiritual retreat built between the 16th and 18th centuries, this ensemble served as the ancestral shrine of the Safavid dynasty. The complex contains a mosque, school, mausoleum, and hospital, masterfully arranged along a symbolic path to spiritual enlightenment."
Tabriz Historic Bazaar Complex,مجموعه بازار تاریخی تبریز,2010,cultural,Tabriz,East Azerbaijan,38.0786,46.2919,"One of the oldest and largest covered bazaars in the Middle East, Tabriz Bazaar has been a major Silk Road commercial hub since antiquity. The interconnected complex of brick-vaulted structures includes mosques, caravanserais, and bathhouses spanning over 5,000 shops."
The Persian Garden,باغ ایرانی,2011,cultural,Multiple cities,Multiple provinces,32.6525,51.6746,"A serial nomination of nine gardens across different provinces illustrating the diversity of Persian garden design (Chahar Bagh), which influenced garden traditions from Spain to India. The gardens include Pasargadae, Eram, Fin, Chehel Sotoun, Shahzadeh, Dolat Abad, Abbasabad, Akbariyeh, and Pahlevanpur."
Gonbad-e Qabus,گنبد قابوس,2012,cultural,Gonbad-e Kavus,Golestan,37.3019,55.1689,"A 53-meter brick tomb tower built in 1006 AD, it is the tallest brick tower in the world and a masterpiece of early Islamic architecture. The unglazed fired-brick structure influenced the development of funerary towers throughout Central Asia and Iran."
Masjed-e Jame of Isfahan,مسجد جامع اصفهان,2012,cultural,Isfahan,Isfahan,32.668,51.6854,"The oldest Friday mosque in Iran, displaying twelve centuries of Islamic architectural development from the 8th century onward. Its four-iwan layout became the prototype for mosque design throughout Central Asia, and it contains two remarkable 11th-century domed chambers."
Golestan Palace,کاخ گلستان,2013,cultural,Tehran,Tehran,35.6839,51.4214,"The former royal Qajar complex and one of the oldest historic monuments in Tehran, featuring eight key palace structures including the Marble Throne Hall and the Hall of Mirrors. It represents a successful integration of Persian craftsmanship with Western architectural influences."
Shahr-i Sokhta,شهر سوخته,2014,cultural,Zabol,Sistan and Baluchestan,30.5928,61.3367,"A vast Bronze Age urban settlement dating from 3200 BC, known as the 'Burnt City' after several devastating fires. The 151-hectare site yielded the world's oldest known prosthetic eye, the earliest animation, and evidence of advanced skull surgery."
Cultural Landscape of Maymand,روستای میمند,2015,cultural,Shahr-e Babak,Kerman,30.1767,55.3883,"An ancient village where semi-nomadic inhabitants still practice seasonal transhumance and live in hand-carved rock dwellings (kicheh). The self-contained system of community life in the caves represents a living tradition stretching back at least 2,000 years."
Susa,شوش,2015,cultural,Shush,Khuzestan,32.1942,48.2436,"One of the oldest continuously inhabited cities in the world, dating to approximately 4395 BC. As a capital of the Elamite Empire and later the Achaemenid winter capital, Susa yielded major artifacts including the Code of Hammurabi and the Darius Palace."
The Persian Qanat,قنات‌های ایران,2016,cultural,Multiple cities,Multiple provinces,33.9883,58.7919,"A serial inscription of eleven qanats representing the sophisticated ancient Iranian hydraulic engineering system. These gently sloping underground tunnels transport water from aquifers to the surface over long distances without pumping, a technology developed over 3,000 years ago."
Lut Desert,دشت لوت,2016,natural,Shahdad,Kerman,30.5,59.0,"One of the hottest places on Earth, with surface temperatures recorded at over 70°C. The desert's dramatic yardangs (wind-carved sand formations known as kaluts) can reach 150 meters in height, creating a spectacular alien-like landscape."
Historic City of Yazd,شهر تاریخی یزد,2017,cultural,Yazd,Yazd,31.8974,54.3569,"A living testimony to intelligent use of limited resources in a desert environment, Yazd features an extraordinary network of badgirs (windcatchers), qanats, and adobe architecture. Its 700-hectare historic center preserves the Zoroastrian heritage and traditional urban fabric spanning over 3,000 years."
Sassanid Archaeological Landscape of Fars Region,منظر باستان‌شناسی ساسانی فارس,2018,cultural,Firuzabad,Fars,28.8619,52.5592,"Eight archaeological sites across three geographical areas (Firuzabad, Bishapur, and Sarvestan) depicting the earliest and latest centers of the Sassanid Empire. The sites include fortified structures, palaces, bas-reliefs, city plans, and a royal investiture scene."
Hyrcanian Forests,جنگل‌های هیرکانی,2019,natural,Multiple cities,"Gilan, Mazandaran, Golestan",36.75,51.5,"An ancient broadleaf forest stretching along the southern coast of the Caspian Sea, surviving since the Jurassic period (25-50 million years ago). These forests are home to 180 typical temperate broadleaf species and an exceptional diversity of flora and fauna."
Trans-Iranian Railway,راه‌آهن سراسری ایران,2021,cultural,Multiple cities,Multiple provinces,35.6892,51.389,"A 1,394-km railway connecting the Caspian Sea to the Persian Gulf, completed in 1938. The route traverses two mountain ranges, crossing 174 large bridges (including the famous Veresk Bridge), 186 small bridges, and 224 tunnels through extremely challenging terrain."
Cultural Landscape of Hawraman/Uramanat,منظر فرهنگی هورامان/اورامانات,2021,cultural,Uramanat,Kermanshah and Kurdistan,35.0333,46.2167,"A remote mountainous area in western Iran where Kurdish communities have adapted to the steep terrain over millennia. The stepped villages built on 40-60 degree slopes, where rooftops serve as courtyards for the houses above, represent an outstanding example of human interaction with nature."
The Persian Caravanserai,کاروانسراهای ایران,2023,cultural,Multiple cities,Multiple provinces,33.0,53.0,"A serial inscription of 54 caravanserais spanning from the Sassanid through the Qajar periods, representing the network of roadside inns that served Silk Road travelers and merchants. They showcase the evolution of Persian-Islamic architectural styles adapted for hospitality across diverse climatic zones."
Hegmataneh,هگمتانه,2024,cultural,Hamadan,Hamadan,34.7983,48.5146,"The ancient city of Ecbatana, capital of the Median Empire and a major Achaemenid and Parthian administrative center. Excavations have revealed pottery, inscriptions, and architectural remains spanning multiple millennia in the heart of modern Hamadan."
Prehistoric Sites of the Khorramabad Valley,محوطه‌های پیش‌ از‌ تاریخ دره خرم‌آباد,2025,cultural,Khorramabad,Lorestan,33.4878,48.3558,"Five caves and a rock shelter containing evidence of human occupation spanning 63,000 years. The sites preserve Mousterian and Baradostian cultural layers, providing critical insight into Neanderthal and early modern human habitation in the Zagros Mountains."
